Category,Priority,Item,Recommended Timing,Official or Search Link,Status,Notes
Transport,1,BCN to EDI flight,Now,https://www.google.com/travel/flights?q=BCN%20to%20EDI,Not started,"Direct flight preferred; compare total price including luggage."
Transport,1,Edinburgh to London train or flight,Now,https://www.lner.co.uk/routes/edinburgh-to-london-kings-cross-trains/,Not started,"Train preferred if staying in central London."
Accommodation,1,Barcelona accommodation,Now,https://www.google.com/maps/search/?api=1&query=Eixample%20hotel%20Barcelona%20air%20conditioning%20elevator,Not started,"Eixample preferred; air conditioning and elevator required."
Accommodation,1,Edinburgh accommodation,Now,https://www.google.com/maps/search/?api=1&query=Edinburgh%20New%20Town%20Haymarket%20hotel%20elevator,Not started,"New Town or Haymarket preferred; check day tour pickup access."
Tour,1,Highlands day tour,Now,https://www.rabbies.com/en-gb/tour/loch-ness-glencoe-highlands-day-tour-from-edinburgh,Not started,"Loch Ness + Glencoe + Highlands from Edinburgh."
Attraction,2,Sagrada Familia,Now,https://sagradafamilia.org/en/tickets-individuals,Not started,"Book Day 2 morning."
Attraction,2,Park Guell,Now,https://parkguell.barcelona/en,Not started,"Book Day 2 evening to avoid heat."
Attraction,2,Casa Batllo,Now or 1-3 days before,https://www.casabatllo.es/en/online-tickets/,Not started,"Book after Sagrada Familia."
Attraction,2,Edinburgh Castle,2-5 days before,https://www.edinburghcastle.scot/plan-your-visit/tickets/,Not started,"Book Day 4 morning."
Optional,3,Glasgow train,Previous day or same day,https://www.scotrail.co.uk/,Optional,"Only book if Day 6 Glasgow option is selected."
Optional,3,Stirling Castle,Flexible,https://www.stirlingcastle.scot/,Optional,"Alternative to Glasgow or Edinburgh recovery day."
